" Code "," Immatriculation "," Kilométrage "," Marque - Modèle "," Type Véhicule "," Statut "," Prochaine Vidange "," Propriétaire "
19,"01 03 27",0,"TOYOTA FORTUNER",Automibile,OK,0,Location
37,"CE 450 EE",0,"GRAND VITARA",Automibile,OK,0,Location
10,"CE 461 CV",1,"GRAND VITARA",Automibile,OK,0,PERENCO
11,"CE 828 CY",1,"GRAND VITARA",Automibile,OK,0,PERENCO
5,"LT  340 CV",0,"HYUNDAI SANTA FEE",Automibile,OK,0,PERENCO
6,"LT  341 CV",1,"NISSAN PATROL",Automibile,OK,0,PERENCO
13,"LT 037 DA",1,"GRAND VITARA",Automibile,OK,0,PERENCO
14,"LT 042 CP",0,"GRAND VITARA",Automibile,OK,0,PERENCO
15,"LT 051 CK",0,"TOYOTA FORTUNER",Automibile,OK,0,PERENCO
16,"LT 051 CO",1,"GRAND VITARA",Automibile,OK,0,PERENCO
17,"LT 074 CK",0,"TOYOTA FORTUNER",Automibile,OK,0,PERENCO
18,"LT 092 CH",0,"TOYOTA FORTUNER",Automibile,OK,0,PERENCO
20,"LT 113 CK",0,"TOYOTA FORTUNER",Automibile,OK,0,PERENCO
21,"LT 1132 U",0,"TOYOTA PICK-UP Hilux",Automibile,PANNE,0,PERENCO
101,"LT 123 DM",0,"remplace le  655 CX",Automibile,OK,0,PERENCO
102,"LT 145 EH",2,"TOYOTA FORTUNER",Automibile,OK,0,PERENCO
105,"LT 147 EH",0,"TOYOTA FORTUNER",Automibile,OK,0,PERENCO
104,"LT 149 EH",0,"TOYOTA FORTUNER",Automibile,OK,0,PERENCO
22,"LT 152 DL",0,"Remplace le LT 154 DD",Automibile,OK,0,PERENCO
103,"LT 152 EH",0,"TOYOTA FORTUNER",Automibile,OK,0,PERENCO
24,"LT 154 DD",0,"IVECO DAILY POWER MINIBUS",Automibile,OK,0,PERENCO
23,"LT 154 DL",0,"TOYOTA RAV4",Automibile,OK,0,Location
25,"LT 155 CS",0,"GRAND VITARA",Automibile,OK,0,PERENCO
26,"LT 155 DD",0,"IVECO DAILY POWER MINIBUS",Automibile,OK,0,PERENCO
27,"LT 171 DG",0,"TOYOTA FORTUNER",Automibile,OK,0,Location
28,"LT 1722 U",0,"TOYOTA PRADO GX",Automibile,OK,0,PERENCO
29,"LT 209 DE",0,"MINI BUS HIACE",Automibile,OK,0,PERENCO
30,"LT 269 CY",0,"SUZUKI JIMMY JLX",Automibile,OK,0,PERENCO
31,"LT 276 CL",0,"TOYOTA FORTUNER",Automibile,OK,0,PERENCO
32,"LT 277 CL",0,"TOYOTA FORTUNER",Automibile,OK,0,PERENCO
33,"LT 305 CH",0,"MINI BUS HIACE",Automibile,OK,0,PERENCO
7,"LT 332 CV",11,"NISSAN QASHQAI",Automibile,OK,0,PERENCO
34,"LT 333 CV",0,"NISSAN QASHQAI",Automibile,OK,0,PERENCO
8,"LT 378 DQ",12,"TOYOTA FORTUNER",Automibile,OK,0,Location
35,"LT 385 CP",0,"WINGLE DC 4X4 SL",Automibile,OK,0,PERENCO
36,"LT 386 CP",0,"WINGLE DC 4X4 SL",Automibile,OK,0,PERENCO
38,"LT 400 CD",0,"TOYOTA PRADO VXL",Automibile,OK,0,PERENCO
39,"LT 472 CJ",0,"GRAND VITARA",Automibile,OK,0,PERENCO
40,"LT 473 CJ",0,"GRAND VITARA",Automibile,OK,0,PERENCO
100,"LT 476 CJ",0,"Remplace le  650 CX",Automibile,OK,0,PERENCO
3,"LT 493 DS",12,"GRAND VITARA",Automibile,OK,0,PERENCO
1,"LT 494 DS",15,"GRAND VITARA",Automibile,OK,0,PERENCO
4,"LT 495 DS",11,"GRAND VITARA",Automibile,OK,0,PERENCO
2,"LT 496 DS",11,"GRAND VITARA",Automibile,OK,0,PERENCO
41,"LT 515 CW",0,"GRAND VITARA",Automibile,OK,0,PERENCO
42,"LT 516 CW",0,"GRAND VITARA",Automibile,OK,0,PERENCO
43,"LT 517 CW",0,"SUZUKI JIMMY JLX",Automibile,OK,0,PERENCO
44,"LT 519 CW",0,"SUZUKI JIMMY JLX",Automibile,OK,0,PERENCO
45,"LT 520 CW",0,"SUZUKI JIMMY JLX",Automibile,OK,0,PERENCO
46,"LT 523 CW",0,"GRAND VITARA",Automibile,OK,0,PERENCO
47,"LT 547 ED",0,"TOYOTA PRADO",Automibile,OK,0,Location
48,"LT 548 ED",0,"TOYOTA PRADO",Automibile,OK,0,Location
9,"LT 598 DA",0,"CITROEN C6",Automibile,OK,0,PERENCO
49,"LT 601 DB",0,"TOYOTA FORTUNER",Automibile,OK,0,PERENCO
50,"LT 604 DB",0,"TOYOTA PRADO TXL",Automibile,OK,0,PERENCO
51,"LT 606 DB",0,"TOYOTA PRADO TXL",Automibile,OK,0,PERENCO
52,"LT 607 DB",0,"TOYOTA PRADO TXL",Automibile,OK,0,PERENCO
53,"LT 608 DB",0,"TOYOTA PRADO TXL",Automibile,OK,0,PERENCO
54,"LT 609 DB",0,"TOYOTA LAND CRUIZER",Automibile,OK,0,PERENCO
55,"LT 610 DB",0,"TOYOTA PRADO TXL",Automibile,OK,0,PERENCO
56,"LT 612 DB",0,"TOYOTA PRADO TXL",Automibile,OK,0,PERENCO
57,"LT 613 DB",0,"TOYOTA PRADO TXL",Automibile,OK,0,PERENCO
58,"LT 614 DB",0,"TOYOTA PRADO TXL",Automibile,OK,0,PERENCO
59,"LT 618 DB",0,"TOYOTA PRADO TXL",Automibile,OK,0,PERENCO
60,"LT 619 DB",0,"TOYOTA PRADO TXL",Automibile,OK,0,PERENCO
61,"LT 621 DB",0,"TOYOTA PRADO TXL",Automibile,OK,0,PERENCO
62,"LT 623 DB",0,"TOYOTA PRADO TXL",Automibile,OK,0,PERENCO
63,"LT 6418 O",0,"PEUGEOT 307",Automibile,"HORS SERVICE",0,PERENCO
64,"LT 648 CX",0,"WINGLE DC 4X4 SL",Automibile,OK,0,PERENCO
65,"LT 649 CX",0,"WINGLE DC 4X4 SL",Automibile,OK,0,PERENCO
66,"LT 650 CX",0,"WINGLE DC 4X4 SL",Automibile,OK,0,PERENCO
67,"LT 651 CX",0,"WINGLE DC 4X4 SL",Automibile,OK,0,PERENCO
68,"LT 652 CX",0,"WINGLE DC 4X4 SL",Automibile,OK,0,PERENCO
69,"LT 653 CX",0,"WINGLE DC 4X4 SL",Automibile,OK,0,PERENCO
70,"LT 654 CX",0,"WINGLE DC 4X4 SL",Automibile,OK,0,PERENCO
71,"LT 655 CX",0,"WINGLE DC 4X4 SL",Automibile,OK,0,PERENCO
72,"LT 656 CX",0,"WINGLE DC 4X4 SL",Automibile,OK,0,PERENCO
73,"LT 657 CX",0,"WINGLE DC 4X4 SL",Automibile,OK,0,PERENCO
74,"LT 658 CX",0,"WINGLE DC 4X4 SL",Automibile,OK,0,PERENCO
75,"LT 659 CX",0,"WINGLE DC 4X4 SL",Automibile,OK,0,PERENCO
76,"LT 660 CX",0,"WINGLE DC 4X4 SL",Automibile,OK,0,PERENCO
77,"LT 661 CX",0,"WINGLE DC 4X4 SL",Automibile,OK,0,PERENCO
78,"LT 673 DB",0,"TOYOTA FORTUNER",Automibile,OK,0,PERENCO
79,"LT 675 DB",0,"TOYOTA PRADO TXL",Automibile,OK,0,PERENCO
80,"LT 677 DB",0,"TOYOTA PRADO TXL",Automibile,OK,0,PERENCO
81,"LT 678 DB",0,"TOYOTA PRADO TXL",Automibile,OK,0,PERENCO
82,"LT 680 DB",0,"TOYOTA PRADO TXL",Automibile,OK,0,PERENCO
83,"LT 682 DB",0,"TOYOTA FORTUNER",Automibile,OK,0,PERENCO
84,"LT 683 DB",0,"TOYOTA PRADO TXL",Automibile,OK,0,PERENCO
85,"LT 685 DB",0,"TOYOTA FORTUNER",Automibile,OK,0,PERENCO
86,"LT 691 CG",0,"MINI BUS HIACE",Automibile,OK,0,PERENCO
93,"LT 706 DL",0,"TOYOTA COROLLA",Automibile,OK,0,Location
87,"LT 713 CZ",0,"GRAND VITARA",Automibile,OK,0,PERENCO
88,"LT 714 CZ",0,"GRAND VITARA",Automibile,OK,0,PERENCO
89,"LT 715 CZ",0,"SUZUKI JIMMY JLX",Automibile,OK,0,PERENCO
90,"LT 716 CZ",0,"SUZUKI JIMMY JLX",Automibile,OK,0,PERENCO
91,"LT 717 CZ",0,"SUZUKI JIMMY JLX",Automibile,OK,0,PERENCO
92,"LT 718 CZ",0,"SUZUKI JIMMY JLX",Automibile,OK,0,PERENCO
12,"LT 719 DP",1,"MINI BUS HIACE",Automibile,OK,0,PERENCO
95,"LT 785 DI",0,"GRAND VITARA",Automibile,OK,0,Location
94,"LT 817 CR",0,"TOYOTA FORTUNER",Automibile,OK,0,Location
96,"LT 879 AS",0,"TOYOTA PRADO GX",Automibile,OK,0,PERENCO
97,"LT 906 CW",0,"GRAND VITARA",Automibile,OK,0,PERENCO
98,"LT 9506 Q",0,"MITSUBISHI L200 PU",Automibile,PANNE,0,PERENCO
99,"SW 184 AJ",0,"TOYOTA FORTUNER",Automibile,OK,0,PERENCO
106,"SW 185 AJ",0,"TOYOTA FORTUNER",Automibile,OK,0,PERENCO
